locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKDPDCFA_00777	CDS	1134				hypothetical protein
JKDPDCFA_00778	CDS	1164				hypothetical protein
JKDPDCFA_00779	CDS	651				hypothetical protein
JKDPDCFA_00780	CDS	1140				hypothetical protein
JKDPDCFA_00781	CDS	708				hypothetical protein
JKDPDCFA_00782	CDS	405				hypothetical protein
JKDPDCFA_00783	CDS	1164				hypothetical protein
JKDPDCFA_00784	CDS	330				hypothetical protein
JKDPDCFA_00785	CDS	1104				hypothetical protein
JKDPDCFA_00786	CDS	1347				hypothetical protein
JKDPDCFA_00787	CDS	1014				hypothetical protein
JKDPDCFA_00788	CDS	555				hypothetical protein
JKDPDCFA_00789	CDS	192				hypothetical protein
JKDPDCFA_00790	CDS	558				hypothetical protein
JKDPDCFA_00791	CDS	354				hypothetical protein
JKDPDCFA_00792	CDS	525				hypothetical protein
JKDPDCFA_00793	CDS	519				hypothetical protein
JKDPDCFA_00794	CDS	1239				hypothetical protein
JKDPDCFA_00795	CDS	1086	pilT		COG2805	Twitching mobility protein
JKDPDCFA_00796	CDS	1311				hypothetical protein
JKDPDCFA_00797	CDS	747				hypothetical protein
JKDPDCFA_00798	CDS	1161				hypothetical protein
JKDPDCFA_00799	CDS	2061	sctC_3			Type 3 secretion system secretin
JKDPDCFA_00800	CDS	2526				hypothetical protein
JKDPDCFA_00801	CDS	537				hypothetical protein
JKDPDCFA_00802	CDS	390				hypothetical protein
JKDPDCFA_00803	CDS	2568				hypothetical protein
JKDPDCFA_00804	CDS	477				hypothetical protein
JKDPDCFA_00805	CDS	495				hypothetical protein
JKDPDCFA_00806	CDS	975				hypothetical protein
JKDPDCFA_00807	CDS	2340				hypothetical protein
JKDPDCFA_00808	CDS	1980	traG			Conjugal transfer protein TraG
JKDPDCFA_00809	CDS	882				hypothetical protein
JKDPDCFA_00810	CDS	867				hypothetical protein
JKDPDCFA_00811	CDS	1689				hypothetical protein
JKDPDCFA_00812	CDS	1533				hypothetical protein
JKDPDCFA_00813	CDS	549				hypothetical protein
JKDPDCFA_00814	CDS	651				hypothetical protein
JKDPDCFA_00815	CDS	1404				hypothetical protein
JKDPDCFA_00816	CDS	738				hypothetical protein
JKDPDCFA_00817	CDS	885	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
	CRISPR	1064				
JKDPDCFA_00818	CDS	615				hypothetical protein
JKDPDCFA_00819	CDS	1722				hypothetical protein
JKDPDCFA_00820	CDS	354				hypothetical protein
JKDPDCFA_00821	CDS	888				hypothetical protein
JKDPDCFA_00822	CDS	816				hypothetical protein
JKDPDCFA_00823	CDS	6510				hypothetical protein
JKDPDCFA_00824	CDS	474				hypothetical protein
JKDPDCFA_00825	CDS	420				hypothetical protein
JKDPDCFA_00826	CDS	564				hypothetical protein
JKDPDCFA_00827	CDS	873				hypothetical protein
JKDPDCFA_00828	CDS	1257		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
JKDPDCFA_00829	CDS	480				hypothetical protein
JKDPDCFA_00830	CDS	900				hypothetical protein
JKDPDCFA_00831	CDS	540				hypothetical protein
JKDPDCFA_00832	CDS	273				hypothetical protein
JKDPDCFA_00833	CDS	432	hmrR			HTH-type transcriptional regulator HmrR
JKDPDCFA_00834	CDS	393	merC			Mercuric transport protein MerC
JKDPDCFA_00835	CDS	1653	merA_2	1.16.1.1	COG1249	Mercuric reductase
JKDPDCFA_00836	CDS	1140				ISL3 family transposase ISPst9
JKDPDCFA_00837	CDS	240				hypothetical protein
JKDPDCFA_00838	CDS	1332				hypothetical protein
JKDPDCFA_00839	CDS	1131				hypothetical protein
JKDPDCFA_00840	CDS	876	nifH	1.18.6.1	COG1348	Nitrogenase iron protein
JKDPDCFA_00841	CDS	1431	nifD_1	1.18.6.1	COG2710	Nitrogenase molybdenum-iron protein alpha chain
JKDPDCFA_00842	CDS	246				hypothetical protein
JKDPDCFA_00843	CDS	870	nifK_1	1.18.6.1	COG2710	Nitrogenase molybdenum-iron protein beta chain
JKDPDCFA_00844	CDS	1401	nifD_2	1.18.6.1	COG2710	Nitrogenase molybdenum-iron protein alpha chain
JKDPDCFA_00845	CDS	1434	nifK_2	1.18.6.1		Nitrogenase molybdenum-iron protein beta chain
JKDPDCFA_00846	CDS	399				hypothetical protein
JKDPDCFA_00847	CDS	459				hypothetical protein
JKDPDCFA_00848	CDS	1572	nifB	4.-.-.-	COG0535	FeMo cofactor biosynthesis protein NifB
JKDPDCFA_00849	CDS	258	yfhL		COG1145	Ferredoxin YfhL
JKDPDCFA_00850	CDS	393	hesB2		COG0316	Protein HesB, vegetative
JKDPDCFA_00851	CDS	507				hypothetical protein
JKDPDCFA_00852	CDS	792				hypothetical protein
JKDPDCFA_00853	CDS	1164	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
JKDPDCFA_00854	CDS	1161	per	2.6.1.102	COG0399	GDP-perosamine synthase
JKDPDCFA_00855	CDS	246				hypothetical protein
JKDPDCFA_00856	CDS	306				hypothetical protein
JKDPDCFA_00857	CDS	300				hypothetical protein
JKDPDCFA_00858	CDS	210				hypothetical protein
JKDPDCFA_00859	CDS	261				hypothetical protein
JKDPDCFA_00860	CDS	366				hypothetical protein
JKDPDCFA_00861	CDS	525				hypothetical protein
JKDPDCFA_00862	CDS	312	fdxB		COG1145	Ferredoxin-3
JKDPDCFA_00863	CDS	357	nifW2			Nitrogenase-stabilizing/protective protein NifW 2
JKDPDCFA_00864	CDS	327	glnB_2		COG0347	Nitrogen regulatory protein P-II
JKDPDCFA_00865	CDS	423	glnB_3		COG0347	Nitrogen regulatory protein P-II
JKDPDCFA_00866	CDS	630				hypothetical protein
JKDPDCFA_00867	CDS	198				hypothetical protein
JKDPDCFA_00868	CDS	1191	frbC	2.3.3.19		2-phosphonomethylmalate synthase
JKDPDCFA_00869	CDS	771	hesA1		COG0476	Protein HesA, heterocyst
JKDPDCFA_00870	CDS	828				hypothetical protein
JKDPDCFA_00871	CDS	696				hypothetical protein
JKDPDCFA_00872	CDS	795	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
JKDPDCFA_00873	CDS	489				hypothetical protein
JKDPDCFA_00874	CDS	501	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
JKDPDCFA_00875	CDS	507	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
JKDPDCFA_00876	CDS	1224	moeA	2.10.1.1		Molybdopterin molybdenumtransferase
JKDPDCFA_00877	CDS	453	moaE1	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 1
JKDPDCFA_00878	CDS	213				hypothetical protein
JKDPDCFA_00879	CDS	984	moaA1	4.1.99.22	COG2896	GTP 3',8-cyclase 1
JKDPDCFA_00880	CDS	339	glnB_4		COG0347	Nitrogen regulatory protein P-II
JKDPDCFA_00881	CDS	3219	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
JKDPDCFA_00882	CDS	1299	nasA			Nitrate transporter
JKDPDCFA_00883	CDS	327	glnK		COG0347	Nitrogen regulatory protein P-II 2
JKDPDCFA_00884	CDS	1122	msrP	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
JKDPDCFA_00885	CDS	501				hypothetical protein
JKDPDCFA_00886	CDS	1098				hypothetical protein
JKDPDCFA_00887	CDS	300	higB	3.1.-.-		Endoribonuclease HigB
JKDPDCFA_00888	CDS	276				hypothetical protein
JKDPDCFA_00889	CDS	258				hypothetical protein
JKDPDCFA_00890	CDS	336				hypothetical protein
JKDPDCFA_00891	CDS	186				hypothetical protein
JKDPDCFA_00892	CDS	573				IS200/IS605 family transposase ISAba30
JKDPDCFA_00893	CDS	312				hypothetical protein
JKDPDCFA_00894	CDS	276	higA			Antitoxin HigA
JKDPDCFA_00895	CDS	1470	atoC_2		COG2204	Regulatory protein AtoC
JKDPDCFA_00896	CDS	1980	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
JKDPDCFA_00897	CDS	1017	ywlC_1	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
JKDPDCFA_00898	CDS	2601	ilvD_1	4.2.1.9		Dihydroxy-acid dehydratase
JKDPDCFA_00899	CDS	2487				hypothetical protein
JKDPDCFA_00900	CDS	1662	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JKDPDCFA_00901	CDS	246				hypothetical protein
JKDPDCFA_00902	CDS	1002				hypothetical protein
JKDPDCFA_00903	CDS	240				hypothetical protein
JKDPDCFA_00904	CDS	1125	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
JKDPDCFA_00905	CDS	564				hypothetical protein
JKDPDCFA_00906	CDS	678				hypothetical protein
JKDPDCFA_00907	CDS	846	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
JKDPDCFA_00908	CDS	711	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
JKDPDCFA_00909	CDS	333				hypothetical protein
JKDPDCFA_00910	CDS	267				hypothetical protein
JKDPDCFA_00911	CDS	567				hypothetical protein
JKDPDCFA_00912	CDS	684				hypothetical protein
JKDPDCFA_00913	CDS	264				hypothetical protein
JKDPDCFA_00914	CDS	420				hypothetical protein
JKDPDCFA_00915	CDS	369				hypothetical protein
JKDPDCFA_00916	CDS	315				hypothetical protein
JKDPDCFA_00917	CDS	354				hypothetical protein
JKDPDCFA_00918	CDS	177				hypothetical protein
JKDPDCFA_00919	CDS	204				hypothetical protein
JKDPDCFA_00920	CDS	984	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
JKDPDCFA_00921	CDS	555				hypothetical protein
JKDPDCFA_00922	CDS	756	rpaR		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
JKDPDCFA_00923	CDS	1380				hypothetical protein
JKDPDCFA_00924	CDS	1509	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_00925	CDS	903				hypothetical protein
JKDPDCFA_00926	CDS	1317				hypothetical protein
JKDPDCFA_00927	CDS	861				hypothetical protein
JKDPDCFA_00928	CDS	567				hypothetical protein
JKDPDCFA_00929	CDS	1425				hypothetical protein
JKDPDCFA_00930	CDS	2022	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
JKDPDCFA_00931	CDS	2193				hypothetical protein
JKDPDCFA_00932	CDS	681				hypothetical protein
JKDPDCFA_00933	CDS	384				hypothetical protein
JKDPDCFA_00934	CDS	1686	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JKDPDCFA_00935	CDS	165				hypothetical protein
JKDPDCFA_00936	CDS	1182	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
JKDPDCFA_00937	CDS	264				hypothetical protein
JKDPDCFA_00938	CDS	363				hypothetical protein
JKDPDCFA_00939	CDS	150				hypothetical protein
JKDPDCFA_00940	CDS	141				hypothetical protein
JKDPDCFA_00941	CDS	141				hypothetical protein
JKDPDCFA_00942	CDS	423				hypothetical protein
JKDPDCFA_00943	CDS	216				hypothetical protein
JKDPDCFA_00944	CDS	558				hypothetical protein
JKDPDCFA_00945	CDS	438				hypothetical protein
JKDPDCFA_00946	CDS	441				hypothetical protein
JKDPDCFA_00947	CDS	3006				hypothetical protein
JKDPDCFA_00948	CDS	1251				hypothetical protein
JKDPDCFA_00949	CDS	492				hypothetical protein
JKDPDCFA_00950	CDS	294				hypothetical protein
JKDPDCFA_00951	CDS	1227				hypothetical protein
JKDPDCFA_00952	CDS	927			COG1373	putative protein
JKDPDCFA_00953	CDS	489				hypothetical protein
JKDPDCFA_00954	CDS	282				hypothetical protein
JKDPDCFA_00955	CDS	372				hypothetical protein
JKDPDCFA_00956	CDS	273				hypothetical protein
JKDPDCFA_00957	CDS	333				hypothetical protein
JKDPDCFA_00958	CDS	159				hypothetical protein
JKDPDCFA_00959	CDS	159				hypothetical protein
JKDPDCFA_00960	CDS	294				hypothetical protein
JKDPDCFA_00961	CDS	1101				hypothetical protein
JKDPDCFA_00962	CDS	657				hypothetical protein
JKDPDCFA_00963	CDS	282				hypothetical protein
JKDPDCFA_00964	CDS	714				hypothetical protein
JKDPDCFA_00965	CDS	489				hypothetical protein
JKDPDCFA_00966	CDS	783				hypothetical protein
JKDPDCFA_00967	CDS	1014				hypothetical protein
JKDPDCFA_00968	CDS	1104	dnaJ_2			Chaperone protein DnaJ
JKDPDCFA_00969	CDS	393				hypothetical protein
JKDPDCFA_00970	CDS	546	sigM		COG1595	ECF RNA polymerase sigma factor SigM
JKDPDCFA_00971	CDS	1056	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JKDPDCFA_00972	CDS	261				hypothetical protein
JKDPDCFA_00973	CDS	1056	xerC_2			Tyrosine recombinase XerC
JKDPDCFA_00974	tRNA	76				tRNA-Phe(gaa)
JKDPDCFA_00975	CDS	2346	bamA		COG4775	Outer membrane protein assembly factor BamA
JKDPDCFA_00976	CDS	603				hypothetical protein
JKDPDCFA_00977	CDS	1053	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
JKDPDCFA_00978	CDS	522	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
JKDPDCFA_00979	CDS	864	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JKDPDCFA_00980	CDS	906	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
JKDPDCFA_00981	CDS	966	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
JKDPDCFA_00982	CDS	1218	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
JKDPDCFA_00983	CDS	1074				hypothetical protein
JKDPDCFA_00984	CDS	1803	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
JKDPDCFA_00985	CDS	807				hypothetical protein
JKDPDCFA_00986	CDS	438	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
JKDPDCFA_00987	CDS	1074	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
JKDPDCFA_00988	CDS	969	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
JKDPDCFA_00989	CDS	1710				hypothetical protein
JKDPDCFA_00990	CDS	1209				hypothetical protein
JKDPDCFA_00991	CDS	1116	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
JKDPDCFA_00992	CDS	753				hypothetical protein
JKDPDCFA_00993	CDS	852				hypothetical protein
JKDPDCFA_00994	CDS	993				hypothetical protein
JKDPDCFA_00995	CDS	822				hypothetical protein
JKDPDCFA_00996	CDS	1035				hypothetical protein
JKDPDCFA_00997	CDS	999	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
JKDPDCFA_00998	CDS	600	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
JKDPDCFA_00999	CDS	186				hypothetical protein
JKDPDCFA_01000	CDS	1035	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
JKDPDCFA_01001	CDS	1083				hypothetical protein
JKDPDCFA_01002	CDS	723				hypothetical protein
JKDPDCFA_01003	CDS	1170	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_01004	CDS	288				hypothetical protein
JKDPDCFA_01005	CDS	762				hypothetical protein
JKDPDCFA_01006	CDS	870				hypothetical protein
JKDPDCFA_01007	CDS	1416	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
JKDPDCFA_01008	CDS	912				hypothetical protein
JKDPDCFA_01009	CDS	1362				hypothetical protein
JKDPDCFA_01010	CDS	1056				hypothetical protein
JKDPDCFA_01011	CDS	1281	ispDF		COG0245	Bifunctional enzyme IspD/IspF
JKDPDCFA_01012	CDS	705	cysE	2.3.1.30	COG1045	Serine acetyltransferase
JKDPDCFA_01013	CDS	552				hypothetical protein
JKDPDCFA_01014	CDS	1641				hypothetical protein
JKDPDCFA_01015	CDS	1212				hypothetical protein
JKDPDCFA_01016	CDS	813	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
JKDPDCFA_01017	CDS	1515				hypothetical protein
JKDPDCFA_01018	CDS	1569	purH		COG0138	Bifunctional purine biosynthesis protein PurH
JKDPDCFA_01019	CDS	1278	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
JKDPDCFA_01020	CDS	615	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
JKDPDCFA_01021	CDS	384				hypothetical protein
JKDPDCFA_01022	CDS	663	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
JKDPDCFA_01023	CDS	276	coaD_1	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
JKDPDCFA_01024	CDS	219	coaD_2	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
JKDPDCFA_01025	CDS	1212	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
JKDPDCFA_01026	CDS	744	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JKDPDCFA_01027	CDS	1239	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
JKDPDCFA_01028	CDS	1524	lysS	6.1.1.6		Lysine--tRNA ligase
JKDPDCFA_01029	CDS	1053	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
JKDPDCFA_01030	CDS	1446				hypothetical protein
JKDPDCFA_01031	CDS	1071	hemH	4.99.1.1	COG0276	Ferrochelatase
JKDPDCFA_01032	CDS	354				hypothetical protein
JKDPDCFA_01033	CDS	786				hypothetical protein
JKDPDCFA_01034	CDS	1113				hypothetical protein
JKDPDCFA_01035	CDS	1407	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
JKDPDCFA_01036	CDS	405				hypothetical protein
JKDPDCFA_01037	CDS	555	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JKDPDCFA_01038	CDS	627				hypothetical protein
JKDPDCFA_01039	CDS	426				hypothetical protein
JKDPDCFA_01040	CDS	1200	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
JKDPDCFA_01041	CDS	648				hypothetical protein
JKDPDCFA_01042	CDS	1332	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
JKDPDCFA_01043	CDS	1062	thrC_2	4.2.3.1	COG0498	Threonine synthase
JKDPDCFA_01044	CDS	1203	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
JKDPDCFA_01045	CDS	1239	lysC	2.7.2.4	COG0527	Aspartokinase
JKDPDCFA_01046	CDS	1635	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
JKDPDCFA_01047	CDS	813	lpxA_2	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JKDPDCFA_01048	CDS	297	ihfA		COG0776	Integration host factor subunit alpha
JKDPDCFA_01049	tRNA	77				tRNA-Pro(ggg)
JKDPDCFA_01050	CDS	801	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
JKDPDCFA_01051	CDS	543				hypothetical protein
JKDPDCFA_01052	CDS	1473	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
JKDPDCFA_01053	CDS	303		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
JKDPDCFA_01054	CDS	720	resA_1			Thiol-disulfide oxidoreductase ResA
JKDPDCFA_01055	CDS	1779	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
JKDPDCFA_01056	CDS	1203	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
JKDPDCFA_01057	CDS	486	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
JKDPDCFA_01058	CDS	507	nusB		COG0781	Transcription antitermination protein NusB
JKDPDCFA_01059	CDS	501				hypothetical protein
JKDPDCFA_01060	CDS	1314	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
JKDPDCFA_01061	CDS	720	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
JKDPDCFA_01062	CDS	297	purS	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
JKDPDCFA_01063	CDS	1977				hypothetical protein
JKDPDCFA_01064	CDS	309				hypothetical protein
JKDPDCFA_01065	CDS	1125	ackA	2.7.2.1	COG0282	Acetate kinase
JKDPDCFA_01066	CDS	675	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JKDPDCFA_01067	CDS	2913				hypothetical protein
JKDPDCFA_01068	CDS	654				hypothetical protein
JKDPDCFA_01069	CDS	414	tolR_1			Tol-Pal system protein TolR
JKDPDCFA_01070	CDS	693	tolQ_2			Tol-Pal system protein TolQ
JKDPDCFA_01071	CDS	1119	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
JKDPDCFA_01072	CDS	1137	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
JKDPDCFA_01073	CDS	1779	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
JKDPDCFA_01074	CDS	906				hypothetical protein
JKDPDCFA_01075	CDS	1452	tolC_2			Outer membrane protein TolC
JKDPDCFA_01076	CDS	333				hypothetical protein
JKDPDCFA_01077	CDS	2367	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
JKDPDCFA_01078	CDS	918	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
JKDPDCFA_01079	CDS	480	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
JKDPDCFA_01080	CDS	909	pdhD_2	1.8.1.4		Dihydrolipoyl dehydrogenase
JKDPDCFA_01081	CDS	915	auaH_2	1.1.1.394		Aurachin B dehydrogenase
JKDPDCFA_01082	CDS	2589	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
JKDPDCFA_01083	CDS	1644	pgm	5.4.2.2	COG0033	Phosphoglucomutase
JKDPDCFA_01084	CDS	1089				IS256 family transposase ISAfe2
JKDPDCFA_01085	CDS	1383	ccoN1_1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
JKDPDCFA_01086	CDS	120				hypothetical protein
JKDPDCFA_01087	CDS	1533	emrB			Colistin resistance protein EmrB
JKDPDCFA_01088	CDS	333				hypothetical protein
JKDPDCFA_01089	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
JKDPDCFA_01090	CDS	288				hypothetical protein
JKDPDCFA_01091	CDS	399				hypothetical protein
JKDPDCFA_01092	CDS	798	pal_1			Peptidoglycan-associated lipoprotein
JKDPDCFA_01093	CDS	684				hypothetical protein
JKDPDCFA_01094	CDS	756				hypothetical protein
JKDPDCFA_01095	CDS	3528				hypothetical protein
JKDPDCFA_01096	CDS	1233	yhaO		COG0420	putative metallophosphoesterase YhaO
JKDPDCFA_01097	CDS	588				hypothetical protein
JKDPDCFA_01098	CDS	717				hypothetical protein
JKDPDCFA_01099	CDS	1164				hypothetical protein
JKDPDCFA_01100	CDS	1716				hypothetical protein
JKDPDCFA_01101	CDS	981				hypothetical protein
JKDPDCFA_01102	CDS	207				hypothetical protein
JKDPDCFA_01103	CDS	390				hypothetical protein
JKDPDCFA_01104	CDS	1188				hypothetical protein
JKDPDCFA_01105	CDS	654				hypothetical protein
JKDPDCFA_01106	CDS	942				hypothetical protein
JKDPDCFA_01107	CDS	96				hypothetical protein
JKDPDCFA_01108	CDS	225				hypothetical protein
JKDPDCFA_01109	CDS	249				hypothetical protein
JKDPDCFA_01110	CDS	177				hypothetical protein
JKDPDCFA_01111	CDS	225				hypothetical protein
JKDPDCFA_01112	CDS	444				hypothetical protein
JKDPDCFA_01113	CDS	951				ISL3 family transposase ISPst9
JKDPDCFA_01114	CDS	417				hypothetical protein
JKDPDCFA_01115	CDS	1122				hypothetical protein
JKDPDCFA_01116	CDS	177				hypothetical protein
JKDPDCFA_01117	CDS	363				IS1380 family transposase ISLsp3
JKDPDCFA_01118	CDS	312				hypothetical protein
JKDPDCFA_01119	CDS	864				hypothetical protein
JKDPDCFA_01120	CDS	1479	bicA		COG0659	Bicarbonate transporter BicA
JKDPDCFA_01121	CDS	654				hypothetical protein
JKDPDCFA_01122	CDS	462				IS1595 family transposase ISDsba2
JKDPDCFA_01123	tRNA	77				tRNA-Arg(cct)
JKDPDCFA_01124	CDS	231				hypothetical protein
JKDPDCFA_01125	CDS	1314				hypothetical protein
JKDPDCFA_01126	CDS	183				hypothetical protein
JKDPDCFA_01127	CDS	399				hypothetical protein
JKDPDCFA_01128	CDS	2037				hypothetical protein
JKDPDCFA_01129	CDS	732				hypothetical protein
JKDPDCFA_01130	CDS	1068	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
JKDPDCFA_01131	CDS	891	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
JKDPDCFA_01132	CDS	3606	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
JKDPDCFA_01133	CDS	687	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
JKDPDCFA_01134	CDS	1290	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
JKDPDCFA_01135	CDS	867				hypothetical protein
JKDPDCFA_01136	CDS	2145	mcpA		COG0840	Methyl-accepting chemotaxis protein McpA
JKDPDCFA_01137	rRNA	1557				16S ribosomal RNA
JKDPDCFA_01138	tRNA	77				tRNA-Ile(gat)
JKDPDCFA_01139	tRNA	76				tRNA-Ala(tgc)
JKDPDCFA_01140	rRNA	2976				23S ribosomal RNA
JKDPDCFA_01141	rRNA	110				5S ribosomal RNA
JKDPDCFA_01142	CDS	2292				hypothetical protein
JKDPDCFA_01143	CDS	888	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
JKDPDCFA_01144	CDS	489	nth	4.2.99.18		Endonuclease III
JKDPDCFA_01145	CDS	411	dksA_1			RNA polymerase-binding transcription factor DksA
JKDPDCFA_01146	CDS	819	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
JKDPDCFA_01147	CDS	1455				hypothetical protein
JKDPDCFA_01148	CDS	426	cymR			HTH-type transcriptional regulator CymR
JKDPDCFA_01149	CDS	423				hypothetical protein
JKDPDCFA_01150	CDS	273			COG4095	Sugar transporter SemiSWEET
JKDPDCFA_01151	CDS	1143				hypothetical protein
JKDPDCFA_01152	CDS	2559				hypothetical protein
JKDPDCFA_01153	CDS	726			COG1136	putative ABC transporter ATP-binding protein
JKDPDCFA_01154	CDS	879	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
JKDPDCFA_01155	CDS	264				hypothetical protein
JKDPDCFA_01156	CDS	294				hypothetical protein
JKDPDCFA_01157	CDS	2553				hypothetical protein
JKDPDCFA_01158	CDS	615				hypothetical protein
JKDPDCFA_01159	CDS	1233				hypothetical protein
JKDPDCFA_01160	CDS	690				hypothetical protein
JKDPDCFA_01161	CDS	1158				hypothetical protein
JKDPDCFA_01162	CDS	339				hypothetical protein
JKDPDCFA_01163	CDS	417				hypothetical protein
JKDPDCFA_01164	CDS	849	ravA	3.6.3.-	COG0714	ATPase RavA
JKDPDCFA_01165	CDS	456				hypothetical protein
JKDPDCFA_01166	CDS	1170	hemW		COG0635	Heme chaperone HemW
JKDPDCFA_01167	CDS	945	xerD_2		COG4974	Tyrosine recombinase XerD
